days,p,qgas_cum,ws,qgas,temp,pick,extra_step,gcon_period,dt,curr_temp
0.0,15.04452998379409,460.9671223131229,1,21.97630414761607,0.0,0,0,1,0.0,4609671223131.229
0.01,10.14684424169391,461.4945536126657,1,28.282575079345705,0.004695145802191469,0,1,1,0.01,46149.45489977202
7.0,13.26992764056604,461.4948364384165,1,24.751223084823327,0.004697675318773051,1,0,1,7.0,65.92783377597482
28.0,9.58192348132287,461.6678474877794,1,24.966127119864325,0.006247429805523301,0,0,1,28.0,16.48813741021895
28.01,15.71456151334193,462.19213615729655,1,18.893092950439453,0.006248619604668661,0,1,1,28.01,16.50096880241508
35.0,10.90839095605182,462.1923250882261,1,23.974666408869535,0.006247789112061117,1,0,1,35.0,13.205495002483014
59.0,12.68953110832113,462.35990800642406,1,24.05501817233785,0.006208486117375321,0,0,1,59.0,7.836608610265091
166.01,14.13990359506143,462.9372284425602,1,27.20186481933594,0.0,0,1,1,166.01,2.78861049600796
181.0,15.82295799281087,462.9375004612084,1,19.77222329095455,2.4529941100547845e-06,0,0,1,181.0,2.5576657484030534
181.01,13.57236525378247,463.2338860883398,1,20.411600830078125,0.0026823514433477087,0,1,1,181.01,2.5591618478983698
188.0,6.683128573774088,463.2340902043481,1,24.359297870746225,0.002684201995683389,1,0,1,188.0,2.464011118106924
212.0,5.898500159314827,463.4043616964646,1,20.4117503048172,0.0042278337026488925,0,0,1,212.0,2.18586963064267
212.01,13.14161542235551,463.8942437037802,1,20.41160047607422,0.0060067591990826995,0,1,1,212.01,2.1880771836402126
219.0,5.351853111843408,463.894447819785,1,24.737044411816687,0.006006770351727506,1,0,1,219.0,2.1182394877606083
242.0,8.848304132501543,464.06735976022355,1,20.41166860868769,0.0060402889572502,0,0,1,242.0,1.9176337180166605
242.01,3.64992501117725,464.53682813822337,1,20.411601403808593,0.005879456360328194,0,1,1,242.01,1.919494352043434
249.0,7.966833110526352,464.53703225423743,1,24.458088272361042,0.005879467340910819,1,0,1,249.0,1.8656105713014093
273.0,14.89351946235311,464.70799429126123,1,18.94939775571187,0.005870809713190348,0,0,1,273.0,1.7022270853153518
273.01,15.01292861941958,465.1627798373983,1,20.651673950195313,0.00576026237018228,0,1,1,273.01,1.7038305550610893
280.0,3.482285508080788,465.16298635413784,1,24.356544842083977,0.005760295409795193,1,0,1,280.0,1.6612963798356133
303.0,15.83124384506497,465.333238602584,1,15.680954490579355,0.005762792393706095,0,0,1,303.0,1.5357532627142918
303.01,13.61377181757979,465.6939005558673,1,23.16042623901367,0.004911594936373367,0,1,1,303.01,1.5368928436543798
310.0,13.0940990781084,465.6941321601297,1,23.662491368179428,0.004911837455989957,1,0,1,310.0,1.5022391359999339
334.0,7.403358783090043,465.8595329747933,1,21.877832393666583,0.004874428968492136,0,0,1,334.0,1.3947890208821971
334.01,2.337688512712961,466.38460095224127,1,26.848275970458985,0.006428385044826091,0,1,1,334.01,1.396319274728606
341.0,11.85352844886946,466.38486943500095,1,23.807000758975224,0.006428744338985104,1,0,1,341.0,1.367697564325115
